고객ID,고객명,세그먼트,마지막이용일,경과일,평균주기,초과배수,제외사유
C101330,강현서,이탈위험군,2026-04-05,122일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C100080,안주정,이탈위험군,2026-04-06,121일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C101030,장현희,이탈위험군,2026-04-06,121일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C101660,조서빈,이탈위험군,2026-04-06,121일,41일,3.0배,홀드아웃(대조군) — 발송 제외
C100720,서하우,이탈위험군,2026-04-07,120일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C101170,임서아,이탈위험군,2026-04-07,120일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100480,신은진,이탈위험군,2026-04-08,119일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100880,한주서,이탈위험군,2026-04-08,119일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C101100,이주우,이탈위험군,2026-04-09,118일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C101530,박민빈,이탈위험군,2026-04-09,118일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100270,김소아,이탈위험군,2026-04-10,117일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100350,임하호,이탈위험군,2026-04-10,117일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100620,서하우,이탈위험군,2026-04-10,117일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100660,최하영,이탈위험군,2026-04-10,117일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100750,강윤경,이탈위험군,2026-04-10,117일,41일,2.9배,홀드아웃(대조군) — 발송 제외
C100330,윤유서,이탈위험군,2026-04-11,116일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C101220,강현경,이탈위험군,2026-04-11,116일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C100040,홍은경,이탈위험군,2026-04-12,115일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C100100,김민희,이탈위험군,2026-04-12,115일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C100370,한은우,이탈위험군,2026-04-12,115일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C100760,김채경,이탈위험군,2026-04-12,115일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C101470,정현영,이탈위험군,2026-04-13,114일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C101630,안수호,이탈위험군,2026-04-13,114일,41일,2.8배,홀드아웃(대조군) — 발송 제외
C101070,황소수,이탈위험군,2026-04-15,112일,41일,2.7배,홀드아웃(대조군) — 발송 제외
C101020,장도호,이탈위험군,2026-04-16,111일,41일,2.7배,홀드아웃(대조군) — 발송 제외
C100210,안유경,이탈위험군,2026-04-17,110일,41일,2.7배,홀드아웃(대조군) — 발송 제외
C100630,이수준,이탈위험군,2026-04-19,108일,41일,2.6배,홀드아웃(대조군) — 발송 제외
C100550,최유진,이탈위험군,2026-04-20,107일,41일,2.6배,홀드아웃(대조군) — 발송 제외
C100690,강도진,이탈위험군,2026-04-20,107일,41일,2.6배,홀드아웃(대조군) — 발송 제외
C100520,오채준,이탈위험군,2026-04-21,106일,41일,2.6배,홀드아웃(대조군) — 발송 제외
C100380,정은호,이탈위험군,2026-04-23,104일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C100500,송지서,이탈위험군,2026-04-23,104일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101730,오서경,이탈위험군,2026-04-23,104일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C100220,서하경,이탈위험군,2026-04-24,103일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C100340,서은준,이탈위험군,2026-04-24,103일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101430,최은호,이탈위험군,2026-04-24,103일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C100590,최채아,이탈위험군,2026-04-25,102일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101010,권유연,이탈위험군,2026-04-25,102일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101090,박소아,이탈위험군,2026-04-25,102일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101200,장수연,이탈위험군,2026-04-25,102일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101710,윤민호,이탈위험군,2026-04-25,102일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C101360,이소희,이탈위험군,2026-04-26,101일,41일,2.5배,홀드아웃(대조군) — 발송 제외
C100530,임예영,이탈위험군,2026-04-27,100일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100770,한채호,이탈위험군,2026-04-27,100일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C101510,황도아,이탈위험군,2026-04-27,100일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100830,조주수,이탈위험군,2026-04-28,99일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100230,권민빈,이탈위험군,2026-04-29,98일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100250,이예우,이탈위험군,2026-04-29,98일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C101230,송예희,이탈위험군,2026-04-29,98일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C101340,이현준,이탈위험군,2026-04-29,98일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100200,임도영,이탈위험군,2026-04-30,97일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100650,박유진,이탈위험군,2026-04-30,97일,41일,2.4배,홀드아웃(대조군) — 발송 제외
C100110,황소서,이탈위험군,2026-05-01,96일,41일,2.3배,홀드아웃(대조군) — 발송 제외
C100020,박윤아,이탈위험군,2026-05-02,95일,41일,2.3배,홀드아웃(대조군) — 발송 제외
C101490,황수수,이탈위험군,2026-05-02,95일,41일,2.3배,홀드아웃(대조군) — 발송 제외
C100060,황수수,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100130,박주아,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100360,윤지준,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100610,신서빈,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C101320,최지희,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C101760,신예수,이탈위험군,2026-05-06,91일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100410,임은희,이탈위험군,2026-05-08,89일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100840,송채희,이탈위험군,2026-05-08,89일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C100950,박민연,이탈위험군,2026-05-08,89일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C101120,이유서,이탈위험군,2026-05-08,89일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C101640,안은진,이탈위험군,2026-05-08,89일,41일,2.2배,홀드아웃(대조군) — 발송 제외
C101570,최서우,이탈위험군,2026-05-09,88일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100820,이지준,이탈위험군,2026-05-10,87일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100850,박도우,이탈위험군,2026-05-10,87일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C101130,조소정,이탈위험군,2026-05-10,87일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100070,한수빈,이탈위험군,2026-05-11,86일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100280,안윤아,이탈위험군,2026-05-11,86일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100700,이현희,이탈위험군,2026-05-11,86일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C100860,조유영,이탈위험군,2026-05-11,86일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C101140,최예영,이탈위험군,2026-05-11,86일,41일,2.1배,홀드아웃(대조군) — 발송 제외
C101160,황윤우,이탈위험군,2026-05-13,84일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100320,권유아,이탈위험군,2026-05-14,83일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100920,최현빈,이탈위험군,2026-05-14,83일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100400,서현진,이탈위험군,2026-05-15,82일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100780,오예정,이탈위험군,2026-05-15,82일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100600,홍소수,이탈위험군,2026-05-16,81일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100680,안서서,이탈위험군,2026-05-17,80일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C101180,강주진,이탈위험군,2026-05-17,80일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C101290,권채진,이탈위험군,2026-05-17,80일,41일,2.0배,홀드아웃(대조군) — 발송 제외
C100290,한수영,이탈위험군,2026-05-19,78일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C101450,안소연,이탈위험군,2026-05-19,78일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C101670,조지수,이탈위험군,2026-05-19,78일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C100800,한주수,이탈위험군,2026-05-20,77일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C101350,홍윤정,이탈위험군,2026-05-20,77일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C101480,정현서,이탈위험군,2026-05-20,77일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C100540,박소수,이탈위험군,2026-05-21,76일,41일,1.9배,홀드아웃(대조군) — 발송 제외
C101210,조윤아,이탈위험군,2026-05-22,75일,41일,1.8배,홀드아웃(대조군) — 발송 제외
C100030,장예준,이탈위험군,2026-05-25,72일,41일,1.8배,홀드아웃(대조군) — 발송 제외
C101620,최하정,이탈위험군,2026-05-25,72일,41일,1.8배,홀드아웃(대조군) — 발송 제외
C101520,신수수,이탈위험군,2026-05-26,71일,41일,1.7배,홀드아웃(대조군) — 발송 제외
C101440,한서연,이탈위험군,2026-05-27,70일,41일,1.7배,홀드아웃(대조군) — 발송 제외
C100790,신지호,이탈위험군,2026-05-28,69일,41일,1.7배,홀드아웃(대조군) — 발송 제외
C101750,서채우,이탈위험군,2026-05-28,69일,41일,1.7배,홀드아웃(대조군) — 발송 제외
C100260,안지영,이탈위험군,2026-05-29,68일,41일,1.7배,홀드아웃(대조군) — 발송 제외
C101110,박소경,이탈위험군,2026-05-30,67일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C101370,송서서,이탈위험군,2026-05-30,67일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C100450,조은진,이탈위험군,2026-05-31,66일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C100460,오수희,이탈위험군,2026-05-31,66일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C101240,정윤아,이탈위험군,2026-05-31,66일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C101280,오하빈,이탈위험군,2026-05-31,66일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C101040,최하준,이탈위험군,2026-06-01,65일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C101270,임유희,이탈위험군,2026-06-01,65일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C100560,장은수,이탈위험군,2026-06-02,64일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C100640,신소호,이탈위험군,2026-06-02,64일,41일,1.6배,홀드아웃(대조군) — 발송 제외
C100140,윤채연,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C100190,조민빈,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C100580,박윤연,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C101080,안지빈,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C101310,오소정,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C101380,안채서,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C101580,신주우,이탈위험군,2026-06-03,63일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C100470,신민희,이탈위험군,2026-06-04,62일,41일,1.5배,홀드아웃(대조군) — 발송 제외
C102200,조채수,첫 방문 후 미방문,2026-04-08,119일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102000,장유서,첫 방문 후 미방문,2026-04-11,116일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102070,홍서연,첫 방문 후 미방문,2026-04-11,116일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102670,김민준,첫 방문 후 미방문,2026-04-11,116일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102160,서민호,첫 방문 후 미방문,2026-04-12,115일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102760,윤도경,첫 방문 후 미방문,2026-04-12,115일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102080,장예영,첫 방문 후 미방문,2026-04-15,112일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102390,김서연,첫 방문 후 미방문,2026-04-15,112일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101920,전윤빈,첫 방문 후 미방문,2026-04-16,111일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102560,송도수,첫 방문 후 미방문,2026-04-16,111일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102720,서소준,첫 방문 후 미방문,2026-04-16,111일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101820,강민서,첫 방문 후 미방문,2026-04-18,109일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101930,최수서,첫 방문 후 미방문,2026-04-18,109일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102640,홍예서,첫 방문 후 미방문,2026-04-18,109일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102880,강현경,첫 방문 후 미방문,2026-04-21,106일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102660,신주호,첫 방문 후 미방문,2026-04-22,105일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102690,송채경,첫 방문 후 미방문,2026-04-22,105일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102710,임유준,첫 방문 후 미방문,2026-04-22,105일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102850,황예우,첫 방문 후 미방문,2026-04-22,105일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101810,황채영,첫 방문 후 미방문,2026-04-23,104일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102890,최채희,첫 방문 후 미방문,2026-04-23,104일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102780,박채정,첫 방문 후 미방문,2026-04-24,103일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102340,이서수,첫 방문 후 미방문,2026-04-26,101일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102050,한현준,첫 방문 후 미방문,2026-04-27,100일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102110,이수연,첫 방문 후 미방문,2026-04-29,98일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102330,전수준,첫 방문 후 미방문,2026-04-30,97일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102410,한예희,첫 방문 후 미방문,2026-04-30,97일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102650,윤수준,첫 방문 후 미방문,2026-05-01,96일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102420,황서빈,첫 방문 후 미방문,2026-05-02,95일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101770,권민우,첫 방문 후 미방문,2026-05-03,94일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102540,홍도진,첫 방문 후 미방문,2026-05-04,93일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102860,권윤수,첫 방문 후 미방문,2026-05-04,93일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102610,정예우,첫 방문 후 미방문,2026-05-06,91일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102750,권소연,첫 방문 후 미방문,2026-05-06,91일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102130,신은서,첫 방문 후 미방문,2026-05-07,90일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102450,조예호,첫 방문 후 미방문,2026-05-07,90일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102530,강은준,첫 방문 후 미방문,2026-05-07,90일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102310,신현준,첫 방문 후 미방문,2026-05-08,89일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101880,윤현아,첫 방문 후 미방문,2026-05-09,88일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102290,김하우,첫 방문 후 미방문,2026-05-10,87일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102320,최소정,첫 방문 후 미방문,2026-05-10,87일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102680,안채우,첫 방문 후 미방문,2026-05-11,86일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102250,한도정,첫 방문 후 미방문,2026-05-14,83일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102550,신민연,첫 방문 후 미방문,2026-05-14,83일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102210,신하정,첫 방문 후 미방문,2026-05-17,80일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102590,안수정,첫 방문 후 미방문,2026-05-17,80일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101970,홍지서,첫 방문 후 미방문,2026-05-18,79일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102490,윤채수,첫 방문 후 미방문,2026-05-19,78일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102300,오지아,첫 방문 후 미방문,2026-05-20,77일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102090,강서빈,첫 방문 후 미방문,2026-05-21,76일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102360,장은연,첫 방문 후 미방문,2026-05-21,76일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102440,한소연,첫 방문 후 미방문,2026-05-21,76일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102630,박윤준,첫 방문 후 미방문,2026-05-22,75일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101870,임도수,첫 방문 후 미방문,2026-05-24,73일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101950,김주희,첫 방문 후 미방문,2026-05-24,73일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102150,김윤빈,첫 방문 후 미방문,2026-05-24,73일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102140,강소희,첫 방문 후 미방문,2026-05-25,72일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102400,송현영,첫 방문 후 미방문,2026-05-25,72일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102480,박서정,첫 방문 후 미방문,2026-05-25,72일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102510,황유준,첫 방문 후 미방문,2026-05-25,72일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101860,박주서,첫 방문 후 미방문,2026-05-27,70일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101990,박하진,첫 방문 후 미방문,2026-05-31,66일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102730,서하준,첫 방문 후 미방문,2026-06-01,65일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101830,윤지서,첫 방문 후 미방문,2026-06-02,64일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102790,홍소수,첫 방문 후 미방문,2026-06-03,63일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102870,안예서,첫 방문 후 미방문,2026-06-03,63일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102040,윤지경,첫 방문 후 미방문,2026-06-04,62일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101790,최윤서,첫 방문 후 미방문,2026-06-05,61일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102430,최유서,첫 방문 후 미방문,2026-06-06,60일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102620,윤윤희,첫 방문 후 미방문,2026-06-06,60일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101940,조윤희,첫 방문 후 미방문,2026-06-07,59일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102370,서민우,첫 방문 후 미방문,2026-06-08,58일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102580,신은호,첫 방문 후 미방문,2026-06-08,58일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101980,권소정,첫 방문 후 미방문,2026-06-09,57일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C101800,장예영,첫 방문 후 미방문,2026-06-10,56일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102280,박서정,첫 방문 후 미방문,2026-06-10,56일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
C102570,최예서,첫 방문 후 미방문,2026-06-10,56일,산정 불가,산정 불가,홀드아웃(대조군) — 발송 제외
